mode,feature_set,feature_set_desc,condition,condition_desc,classifier,n_seeds,kappa_mean,kappa_std,kappa_ci_lo,kappa_ci_hi,acc_mean,acc_std,acc_ci_lo,acc_ci_hi,f1_asphyxia_mean,f1_asphyxia_std,f1_deaf_mean,f1_deaf_std,f1_hunger_mean,f1_hunger_std,f1_normal_mean,f1_normal_std,f1_pain_mean,f1_pain_std,sensitivity_mean,sensitivity_std,sensitivity_ci_lo,sensitivity_ci_hi,specificity_mean,specificity_std,specificity_ci_lo,specificity_ci_hi,auc_mean,auc_std,auc_ci_lo,auc_ci_hi,f1_healthy_mean,f1_healthy_std,f1_pathology_mean,f1_pathology_std
multiclass,B,comp+EEFGabor (sin FOSP),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),MLP,5,0.8802,0.0044,0.8739,0.8861,0.9106,0.0033,0.906,0.915,0.9245,0.0052,0.9926,0.0019,0.7941,0.0172,0.9305,0.0036,0.6675,0.0209,,,,,,,,,,,,,,,,
multiclass,B,comp+EEFGabor (sin FOSP),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),SVM-lineal,5,0.8719,0.0044,0.8644,0.8753,0.9044,0.0033,0.8987,0.9069,0.9212,0.0024,0.9991,0.0011,0.7682,0.0138,0.9309,0.004,0.6231,0.0093,,,,,,,,,,,,,,,,
multiclass,B,comp+EEFGabor (sin FOSP),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),SVM-RBF,5,0.9106,0.0024,0.908,0.9145,0.9333,0.0018,0.9313,0.9362,0.9489,0.0033,0.9977,0.0005,0.8474,0.0049,0.9521,0.0023,0.7067,0.0068,,,,,,,,,,,,,,,,
multiclass,B,comp+EEFGabor (sin FOSP),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),SVM-polinomial,5,0.9045,0.0027,0.902,0.9087,0.9287,0.002,0.9269,0.9319,0.9431,0.0031,0.9943,0.0005,0.8441,0.0062,0.9408,0.003,0.7181,0.0134,,,,,,,,,,,,,,,,
multiclass,B,comp+EEFGabor (sin FOSP),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),kNN,5,0.8452,0.004,0.841,0.8518,0.8834,0.003,0.8802,0.8884,0.9169,0.0047,0.9716,0.002,0.7652,0.0094,0.8806,0.0036,0.6775,0.0117,,,,,,,,,,,,,,,,
multiclass,B,comp+EEFGabor (sin FOSP),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),RandomForest,5,0.9144,0.0034,0.9094,0.9188,0.9362,0.0025,0.9324,0.9394,0.937,0.0026,0.9914,0.0012,0.8638,0.006,0.9482,0.0023,0.7787,0.0169,,,,,,,,,,,,,,,,
multiclass,B,comp+EEFGabor (sin FOSP),G-1s,GroupKFold por grabación — 1s_X (leakage controlado),MLP,5,0.6273,0.0048,0.6201,0.6337,0.7189,0.0036,0.7131,0.7232,0.7295,0.0053,0.9308,0.0059,0.5447,0.0109,0.5979,0.0025,0.4305,0.0145,,,,,,,,,,,,,,,,
multiclass,B,comp+EEFGabor (sin FOSP),G-1s,GroupKFold por grabación — 1s_X (leakage controlado),SVM-lineal,5,0.6528,0.0024,0.6499,0.6567,0.7392,0.0019,0.7369,0.7422,0.7377,0.0008,0.9631,0.0002,0.5633,0.0073,0.5928,0.0013,0.4507,0.0055,,,,,,,,,,,,,,,,
multiclass,B,comp+EEFGabor (sin FOSP),G-1s,GroupKFold por grabación — 1s_X (leakage controlado),SVM-RBF,5,0.6172,0.0018,0.6153,0.6202,0.7115,0.0013,0.71,0.7136,0.7353,0.0035,0.9197,0.0008,0.5794,0.0016,0.5341,0.0035,0.4566,0.0069,,,,,,,,,,,,,,,,
multiclass,B,comp+EEFGabor (sin FOSP),G-1s,GroupKFold por grabación — 1s_X (leakage controlado),SVM-polinomial,5,0.5829,0.0023,0.5803,0.5864,0.6832,0.0017,0.6813,0.6859,0.7303,0.0019,0.9095,0.0007,0.5359,0.0052,0.5267,0.0061,0.3563,0.0023,,,,,,,,,,,,,,,,
multiclass,B,comp+EEFGabor (sin FOSP),G-1s,GroupKFold por grabación — 1s_X (leakage controlado),kNN,5,0.561,0.0082,0.5468,0.5677,0.6622,0.0066,0.6508,0.6675,0.7501,0.0082,0.8757,0.0035,0.4697,0.0192,0.5471,0.0027,0.3882,0.0182,,,,,,,,,,,,,,,,
multiclass,B,comp+EEFGabor (sin FOSP),G-1s,GroupKFold por grabación — 1s_X (leakage controlado),RandomForest,5,0.591,0.0063,0.5823,0.6003,0.6922,0.0048,0.6854,0.6991,0.7839,0.0076,0.8885,0.0022,0.5429,0.008,0.4859,0.0106,0.4399,0.008,,,,,,,,,,,,,,,,
multiclass,C,FOSP+comp+EEFGabor (sin reduc.),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),MLP,5,0.8715,0.0074,0.8638,0.8832,0.9041,0.0055,0.8984,0.9129,0.9204,0.0065,0.9922,0.0006,0.7845,0.0109,0.9215,0.0088,0.6412,0.0184,,,,,,,,,,,,,,,,
multiclass,C,FOSP+comp+EEFGabor (sin reduc.),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),SVM-lineal,5,0.863,0.0036,0.8585,0.8684,0.8977,0.0027,0.8944,0.9018,0.9134,0.005,0.9991,0.0008,0.7545,0.0089,0.9235,0.0035,0.6025,0.0196,,,,,,,,,,,,,,,,
multiclass,C,FOSP+comp+EEFGabor (sin reduc.),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),SVM-RBF,5,0.9049,0.0018,0.9025,0.9071,0.9291,0.0013,0.9273,0.9307,0.9455,0.0053,0.9934,0.001,0.8418,0.0017,0.9479,0.0026,0.7031,0.0077,,,,,,,,,,,,,,,,
multiclass,C,FOSP+comp+EEFGabor (sin reduc.),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),SVM-polinomial,5,0.9,0.0046,0.8952,0.9076,0.9253,0.0034,0.9217,0.931,0.9398,0.003,0.9951,0.0003,0.8366,0.0075,0.9411,0.0036,0.6951,0.0199,,,,,,,,,,,,,,,,
