mode,feature_set,classifier,cond_A,cond_B,p_raw,p_bonf,cohens_d,significant
multiclass,B,MLP,S-1s,G-1s,0.0,0.0,2.1551,True
multiclass,B,SVM-lineal,S-1s,G-1s,0.0,0.0,1.8411,True
multiclass,B,SVM-RBF,S-1s,G-1s,0.0,0.0,2.0048,True
multiclass,B,SVM-polinomial,S-1s,G-1s,0.0,0.0,2.1987,True
multiclass,B,kNN,S-1s,G-1s,0.0,0.0,2.5106,True
multiclass,B,RandomForest,S-1s,G-1s,0.0,0.0,2.0715,True
multiclass,C,MLP,S-1s,G-1s,0.0,0.0,2.0498,True
multiclass,C,SVM-lineal,S-1s,G-1s,0.0,0.0,1.7548,True
multiclass,C,SVM-RBF,S-1s,G-1s,0.0,0.0,1.8815,True
multiclass,C,SVM-polinomial,S-1s,G-1s,0.0,0.0,2.1941,True
multiclass,C,kNN,S-1s,G-1s,0.0,0.0,2.4274,True
multiclass,C,RandomForest,S-1s,G-1s,0.0,0.0,2.0978,True
multiclass,D,MLP,S-1s,G-1s,1e-06,4.8e-05,1.9579,True
multiclass,D,SVM-lineal,S-1s,G-1s,0.0,0.0,1.9568,True
multiclass,D,SVM-RBF,S-1s,G-1s,0.0,0.0,2.0556,True
multiclass,D,SVM-polinomial,S-1s,G-1s,0.0,0.0,2.1962,True
multiclass,D,kNN,S-1s,G-1s,0.0,0.0,2.3764,True
multiclass,D,RandomForest,S-1s,G-1s,0.0,0.0,2.0864,True
multiclass,E,MLP,S-1s,G-1s,0.0,0.0,2.3699,True
multiclass,E,SVM-lineal,S-1s,G-1s,0.0,0.0,2.5549,True
multiclass,E,SVM-RBF,S-1s,G-1s,0.0,0.0,2.2917,True
multiclass,E,SVM-polinomial,S-1s,G-1s,0.0,0.0,3.1729,True
multiclass,E,kNN,S-1s,G-1s,0.0,0.0,2.4774,True
multiclass,E,RandomForest,S-1s,G-1s,0.0,0.0,1.9336,True
binary,B,MLP,S-1s,G-1s,0.0,0.0,1.6146,True
binary,B,SVM-lineal,S-1s,G-1s,2.7e-05,0.001296,1.5918,True
binary,B,SVM-RBF,S-1s,G-1s,0.000101,0.004848,1.5583,True
binary,B,SVM-polinomial,S-1s,G-1s,0.0,0.0,1.6744,True
binary,B,kNN,S-1s,G-1s,1.4e-05,0.000672,1.6456,True
binary,B,RandomForest,S-1s,G-1s,2.2e-05,0.001056,1.4724,True
binary,C,MLP,S-1s,G-1s,2e-06,9.6e-05,1.583,True
binary,C,SVM-lineal,S-1s,G-1s,8e-06,0.000384,1.5087,True
binary,C,SVM-RBF,S-1s,G-1s,0.000545,0.02616,1.4698,True
binary,C,SVM-polinomial,S-1s,G-1s,0.0,0.0,1.7738,True
binary,C,kNN,S-1s,G-1s,1e-06,4.8e-05,1.5555,True
binary,C,RandomForest,S-1s,G-1s,2.2e-05,0.001056,1.4785,True
binary,D,MLP,S-1s,G-1s,1e-06,4.8e-05,1.5981,True
binary,D,SVM-lineal,S-1s,G-1s,0.000162,0.007776,1.5363,True
binary,D,SVM-RBF,S-1s,G-1s,0.000733,0.035184,1.4026,True
binary,D,SVM-polinomial,S-1s,G-1s,5.8e-05,0.002784,1.4882,True
binary,D,kNN,S-1s,G-1s,0.0,0.0,1.545,True
binary,D,RandomForest,S-1s,G-1s,1e-06,4.8e-05,1.5373,True
binary,E,MLP,S-1s,G-1s,0.0,0.0,1.6732,True
binary,E,SVM-lineal,S-1s,G-1s,0.0,0.0,1.8329,True
binary,E,SVM-RBF,S-1s,G-1s,5e-06,0.00024,1.5145,True
binary,E,SVM-polinomial,S-1s,G-1s,0.0,0.0,2.0695,True
binary,E,kNN,S-1s,G-1s,1e-06,4.8e-05,1.7725,True
binary,E,RandomForest,S-1s,G-1s,0.00024,0.01152,1.4713,True
